# K-Export Stars Korean sector performance · as of 2026-08-04 · Source: KRX Open API · CC BY 4.0 · kexportstars.com/tools/
market,sector_en,sector_ko,close,return_1d_pct,return_1w_pct,return_1m_pct,return_ytd_pct,excess_1m_vs_market_pp
KOSDAQ,KOSDAQ,코스닥,780.72,5.88,10.61,-10.1,-17.43,
KOSPI,KOSPI,코스피,6358.95,1.62,5.57,-21.38,47.55,
KOSPI,IT Services,IT 서비스,1226.31,5.78,7.53,3.83,-6.21,25.21
KOSPI,Telecom,통신,614.21,5.56,4.59,2.7,27.77,24.08
KOSPI,Transport & Warehousing,운송·창고,1973.3,1.72,5.32,2.29,6.15,23.67
KOSPI,"Food, Beverage & Tobacco",음식료·담배,4754.02,1.4,0.19,2.26,5.46,23.64
KOSPI,Pharmaceuticals,제약,15550.6,3.41,-0.16,1.03,-12.27,22.41
KOSDAQ,Transport & Warehousing,운송·창고,2960.7,1.32,1.61,0.98,10.8,11.08
KOSPI,Real Estate,부동산,870.12,0.62,-0.2,0.11,-12.97,21.49
KOSDAQ,Telecom,통신,958.65,1.14,3.99,-0.06,-15.83,10.04
KOSPI,Paper & Timber,종이·목재,210.55,3.08,3.08,-0.14,-22.34,21.24
KOSDAQ,"Food, Beverage & Tobacco",음식료·담배,4052.86,2.41,3.32,-0.31,-18.25,9.79
KOSDAQ,IT Services,IT 서비스,643.04,5.89,8.59,-0.46,-30.38,9.64
KOSPI,Chemicals,화학,4310.69,3.87,3.94,-1.74,6.35,19.64
KOSDAQ,Transport Equipment & Parts,운송장비·부품,4003.89,3.48,9.6,-1.9,-24.75,8.2
KOSDAQ,Media & Entertainment,오락·문화,292.27,5.16,5.64,-2.73,-43.63,7.37
KOSPI,Metals,금속,6496.99,5.45,8.59,-2.88,0.47,18.5
KOSDAQ,Paper & Timber,종이·목재,6049.02,2.31,2.04,-2.91,-21.43,7.19
KOSDAQ,Other Manufacturing,기타제조,511.04,3.23,3.52,-3.39,-22.82,6.71
KOSPI,Non-metallic Minerals,비금속,3413.03,2.61,3.03,-3.5,-16.07,17.88
KOSPI,General Services,일반서비스,1278.07,3.4,3.3,-4.64,-2.56,16.74
KOSDAQ,Medical & Precision Instruments,의료·정밀기기,1865.3,6.69,8.67,-4.82,-23.2,5.28
KOSDAQ,Financials,금융,1359.26,5.35,11.56,-5.44,-8.48,4.66
KOSDAQ,Retail & Distribution,유통,440.59,4.72,6.88,-5.7,-10.36,4.4
KOSPI,Utilities (Electricity & Gas),전기·가스,1080.68,1.86,4.33,-5.89,-21.3,15.49
KOSDAQ,Construction,건설,69.82,5.23,4.52,-6.92,-13.98,3.18
KOSPI,Construction,건설,145.52,8.87,9.65,-7.66,50.74,13.72
KOSDAQ,Chemicals,화학,1904.51,4.64,9.61,-8.04,-23.12,2.06
KOSDAQ,Textiles & Apparel,섬유·의류,25.4,1.76,1.48,-8.76,-38.54,1.34
KOSPI,Textiles & Apparel,섬유·의류,215.89,1.27,-6.59,-8.78,-9.23,12.6
KOSDAQ,General Services,일반서비스,4143.41,8.77,13.37,-8.83,-33.16,1.27
KOSPI,Media & Entertainment,오락·문화,865.95,2.84,-1.44,-8.88,-40.31,12.5
KOSDAQ,Metals,금속,1662.92,5.78,6.79,-9.32,-11.19,0.78
KOSDAQ,Pharmaceuticals,제약,9206.21,7.46,10.62,-10.07,-30.72,0.03
KOSDAQ,Publishing & Media,출판·매체복제,1267.68,4.21,3.11,-10.47,-41.87,-0.37
KOSDAQ,Electronics & Semiconductors,전기전자,1463.12,5.73,10.98,-12.08,-0.75,-1.98
KOSPI,Machinery & Equipment,기계·장비,2808.47,4.95,9.65,-13.05,1.87,8.33
KOSPI,Financials,금융,1077.31,1.27,4.39,-14.05,37.74,7.33
KOSPI,Transport Equipment & Parts,운송장비·부품,4970.41,2.62,8.22,-15.25,4.39,6.13
KOSPI,Securities,증권,5221.69,2.12,3.98,-16.53,21.44,4.85
KOSPI,Insurance,보험,43729.14,-1.52,-1.03,-16.63,44.55,4.75
KOSDAQ,Machinery & Equipment,기계·장비,706.17,4.38,12.77,-17.14,7.42,-7.04
KOSPI,Retail & Distribution,유통,583.35,0.42,2.9,-18.75,21.91,2.63
KOSPI,Medical & Precision Instruments,의료·정밀기기,1556.44,3.38,9.32,-18.79,4.97,2.59
KOSDAQ,Non-metallic Minerals,비금속,56176.65,4.78,9.2,-19.4,12.55,-9.3
KOSPI,Electronics & Semiconductors,전기전자,99793.4,0.92,5.92,-27.86,91.19,-6.48
