# K-Export Stars Korean sector performance · as of 2026-08-21 · Source: KRX Open API · CC BY 4.0 · kexportstars.com/tools/
market,sector_en,sector_ko,close,return_1d_pct,return_1w_pct,return_1m_pct,return_ytd_pct,excess_1m_vs_market_pp
KOSDAQ,KOSDAQ,코스닥,801.94,-4.63,-6.9,6.77,-15.19,
KOSPI,KOSPI,코스피,6912.95,0.88,1.46,1.7,60.41,
KOSDAQ,General Services,일반서비스,4367.78,-5.94,-6.32,20.79,-29.54,14.02
KOSPI,Pharmaceuticals,제약,16267.56,-1.37,-2.29,12.45,-8.22,10.75
KOSDAQ,Pharmaceuticals,제약,9180.82,-4.67,-8.3,12.25,-30.91,5.48
KOSDAQ,Telecom,통신,1038.96,1.35,6.98,12.06,-8.77,5.29
KOSDAQ,Textiles & Apparel,섬유·의류,28.69,0.0,8.47,11.63,-30.58,4.86
KOSPI,Metals,금속,6677.76,-4.05,-5.95,10.24,3.27,8.54
KOSDAQ,Chemicals,화학,2027.38,-3.54,-5.55,10.02,-18.16,3.25
KOSPI,IT Services,IT 서비스,1232.48,-1.44,-4.07,9.41,-5.73,7.71
KOSDAQ,Retail & Distribution,유통,472.17,-2.91,-2.28,8.69,-3.93,1.92
KOSDAQ,IT Services,IT 서비스,643.63,-2.03,-3.81,8.59,-30.31,1.82
KOSDAQ,Financials,금융,1368.47,-5.08,-9.04,7.15,-7.86,0.38
KOSPI,Insurance,보험,50580.16,6.55,10.53,6.4,67.19,4.7
KOSPI,Construction,건설,151.28,-5.36,-7.71,6.18,56.7,4.48
KOSPI,Paper & Timber,종이·목재,214.17,-0.67,-0.25,5.69,-21.01,3.99
KOSPI,"Food, Beverage & Tobacco",음식료·담배,4851.91,-0.58,2.35,5.6,7.63,3.9
KOSDAQ,Non-metallic Minerals,비금속,62704.76,-3.1,-5.71,5.55,25.63,-1.22
KOSPI,Real Estate,부동산,899.22,-0.74,-0.44,5.36,-10.06,3.66
KOSPI,Chemicals,화학,4571.2,-1.7,-3.17,5.29,12.78,3.59
KOSPI,General Services,일반서비스,1293.14,-2.07,-3.63,5.19,-1.41,3.49
KOSPI,Telecom,통신,650.25,3.38,6.16,4.73,35.27,3.03
KOSDAQ,Construction,건설,72.62,-3.32,-5.68,4.49,-10.53,-2.28
KOSPI,Transport & Warehousing,운송·창고,1977.13,0.88,-0.18,4.33,6.35,2.63
KOSDAQ,Other Manufacturing,기타제조,523.21,-2.16,-2.12,4.11,-20.98,-2.66
KOSPI,Non-metallic Minerals,비금속,3457.19,-0.36,-0.23,4.07,-14.98,2.37
KOSDAQ,Transport & Warehousing,운송·창고,3099.27,-0.53,2.33,3.42,15.99,-3.35
KOSDAQ,Electronics & Semiconductors,전기전자,1505.23,-5.61,-8.46,2.91,2.1,-3.86
KOSPI,Retail & Distribution,유통,638.03,2.72,2.5,2.55,33.34,0.85
KOSDAQ,Paper & Timber,종이·목재,6301.36,-1.2,-4.01,2.48,-18.15,-4.29
KOSDAQ,Machinery & Equipment,기계·장비,751.34,-4.67,-5.75,2.35,14.29,-4.42
KOSDAQ,Transport Equipment & Parts,운송장비·부품,3936.12,-4.76,-8.96,2.05,-26.02,-4.72
KOSPI,Electronics & Semiconductors,전기전자,112518.5,1.96,4.18,1.62,115.57,-0.08
KOSDAQ,Metals,금속,1632.33,-4.3,-10.66,1.27,-12.83,-5.5
KOSPI,Machinery & Equipment,기계·장비,2826.12,-3.85,-9.08,0.83,2.51,-0.87
KOSDAQ,Media & Entertainment,오락·문화,272.52,-2.78,-3.96,0.43,-47.43,-6.34
KOSPI,Transport Equipment & Parts,운송장비·부품,5017.4,-3.08,-5.81,-1.31,5.38,-3.01
KOSPI,Financials,금융,1115.46,1.14,-0.37,-1.72,42.61,-3.42
KOSDAQ,"Food, Beverage & Tobacco",음식료·담배,3983.16,-1.5,-5.33,-1.83,-19.66,-8.6
KOSPI,Utilities (Electricity & Gas),전기·가스,1015.17,-0.43,-3.21,-2.32,-26.07,-4.02
KOSDAQ,Medical & Precision Instruments,의료·정밀기기,1729.07,-5.0,-11.21,-4.4,-28.81,-11.17
KOSPI,Textiles & Apparel,섬유·의류,215.94,0.22,-4.09,-5.16,-9.21,-6.86
KOSPI,Securities,증권,5158.04,-2.45,-6.23,-6.51,19.96,-8.21
KOSDAQ,Publishing & Media,출판·매체복제,1216.73,-1.43,-5.28,-6.94,-44.21,-13.71
KOSPI,Medical & Precision Instruments,의료·정밀기기,1481.67,-5.42,-11.22,-7.95,-0.07,-9.65
KOSPI,Media & Entertainment,오락·문화,822.78,-2.12,-3.37,-8.52,-43.29,-10.22
