# K-Export Stars Korean sector performance · as of 2026-08-14 · Source: KRX Open API · CC BY 4.0 · kexportstars.com/tools/
market,sector_en,sector_ko,close,return_1d_pct,return_1w_pct,return_1m_pct,return_ytd_pct,excess_1m_vs_market_pp
KOSDAQ,KOSDAQ,코스닥,864.65,0.38,8.24,4.25,-8.56,
KOSPI,KOSPI,코스피,6977.94,2.42,11.49,-4.21,61.92,
KOSPI,IT Services,IT 서비스,1312.89,2.18,7.17,16.31,0.42,20.52
KOSDAQ,Transport Equipment & Parts,운송장비·부품,4448.12,2.89,9.68,14.29,-16.4,10.04
KOSDAQ,General Services,일반서비스,4633.43,-0.62,5.49,14.11,-25.26,9.86
KOSPI,Construction,건설,164.42,0.31,6.59,13.41,70.31,17.62
KOSPI,Pharmaceuticals,제약,16562.15,-0.52,0.59,11.97,-6.56,16.18
KOSPI,Metals,금속,7075.96,-0.34,5.39,11.21,9.42,15.42
KOSPI,Telecom,통신,649.9,6.1,6.92,10.76,35.19,14.97
KOSPI,Real Estate,부동산,923.35,2.23,3.76,9.47,-7.65,13.68
KOSDAQ,Construction,건설,76.18,-1.05,5.31,8.46,-6.15,4.21
KOSDAQ,Financials,금융,1519.1,0.98,8.37,8.39,2.28,4.14
KOSDAQ,IT Services,IT 서비스,673.4,0.64,2.76,8.23,-27.09,3.98
KOSDAQ,Chemicals,화학,2153.2,0.31,8.84,8.01,-13.08,3.76
KOSDAQ,Pharmaceuticals,제약,9915.71,-0.96,4.27,7.96,-25.38,3.71
KOSPI,"Food, Beverage & Tobacco",음식료·담배,4887.18,3.1,-3.17,7.96,8.41,12.17
KOSPI,General Services,일반서비스,1350.76,0.66,2.12,7.95,2.98,12.16
KOSPI,Transport Equipment & Parts,운송장비·부품,5517.69,3.58,6.66,7.36,15.88,11.57
KOSDAQ,Paper & Timber,종이·목재,6559.33,-0.08,-0.99,7.16,-14.8,2.91
KOSDAQ,Retail & Distribution,유통,490.63,1.54,8.74,7.08,-0.17,2.83
KOSPI,Chemicals,화학,4787.18,1.4,3.23,7.03,18.11,11.24
KOSDAQ,Transport & Warehousing,운송·창고,3136.13,3.55,5.35,6.48,17.37,2.23
KOSDAQ,Metals,금속,1828.54,0.08,5.43,6.22,-2.35,1.97
KOSPI,Transport & Warehousing,운송·창고,2016.85,1.82,-1.31,5.58,8.49,9.79
KOSDAQ,Other Manufacturing,기타제조,539.81,0.99,4.34,5.37,-18.48,1.12
KOSPI,Paper & Timber,종이·목재,217.26,1.19,0.49,4.59,-19.87,8.8
KOSPI,Machinery & Equipment,기계·장비,3155.49,1.52,8.87,4.09,14.45,8.3
KOSDAQ,Non-metallic Minerals,비금속,68525.54,3.04,22.29,2.88,37.29,-1.37
KOSPI,Non-metallic Minerals,비금속,3494.67,0.85,-0.44,2.27,-14.06,6.48
KOSDAQ,Electronics & Semiconductors,전기전자,1646.63,0.14,9.49,1.93,11.69,-2.32
KOSPI,Utilities (Electricity & Gas),전기·가스,1057.62,0.84,-3.86,1.87,-22.98,6.08
KOSDAQ,"Food, Beverage & Tobacco",음식료·담배,4208.86,0.03,0.92,1.72,-15.1,-2.53
KOSDAQ,Telecom,통신,978.96,0.8,1.27,1.69,-14.04,-2.56
KOSDAQ,Textiles & Apparel,섬유·의류,26.88,1.63,2.36,1.05,-34.96,-3.2
KOSDAQ,Media & Entertainment,오락·문화,285.76,0.71,-3.75,0.31,-44.88,-3.94
KOSDAQ,Medical & Precision Instruments,의료·정밀기기,1949.81,0.12,3.3,-0.31,-19.72,-4.56
KOSPI,Retail & Distribution,유통,629.58,1.15,3.92,-2.22,31.57,1.99
KOSDAQ,Publishing & Media,출판·매체복제,1283.11,-0.11,0.74,-2.27,-41.16,-6.52
KOSPI,Financials,금융,1145.93,2.35,5.86,-3.86,46.51,0.35
KOSDAQ,Machinery & Equipment,기계·장비,809.05,1.48,16.51,-4.45,23.07,-8.7
KOSPI,Insurance,보험,47350.39,3.47,6.02,-4.52,56.52,-0.31
KOSPI,Textiles & Apparel,섬유·의류,224.83,-0.14,0.68,-4.69,-5.47,-0.48
KOSPI,Media & Entertainment,오락·문화,866.34,1.75,-2.07,-6.56,-40.29,-2.35
KOSPI,Securities,증권,5531.96,0.57,7.08,-7.86,28.66,-3.65
KOSPI,Electronics & Semiconductors,전기전자,110898.4,2.68,16.49,-8.73,112.47,-4.52
KOSPI,Medical & Precision Instruments,의료·정밀기기,1663.61,-0.32,11.57,-9.01,12.2,-4.8
