# K-Export Stars Korean sector performance · as of 2026-08-11 · Source: KRX Open API · CC BY 4.0 · kexportstars.com/tools/
market,sector_en,sector_ko,close,return_1d_pct,return_1w_pct,return_1m_pct,return_ytd_pct,excess_1m_vs_market_pp
KOSDAQ,KOSDAQ,코스닥,857.84,0.39,9.88,2.44,-9.28,
KOSPI,KOSPI,코스피,6345.53,0.73,-0.21,-15.12,47.24,
KOSPI,Pharmaceuticals,제약,17165.01,3.02,10.38,15.25,-3.16,30.37
KOSDAQ,Pharmaceuticals,제약,10152.49,0.38,10.28,10.42,-23.6,7.98
KOSDAQ,General Services,일반서비스,4731.38,-2.31,14.19,9.82,-23.68,7.38
KOSPI,IT Services,IT 서비스,1266.41,2.73,3.27,9.51,-3.14,24.63
KOSPI,Metals,금속,6956.27,-2.67,7.07,8.66,7.57,23.78
KOSDAQ,IT Services,IT 서비스,690.72,1.49,7.41,6.81,-25.21,4.37
KOSDAQ,Transport Equipment & Parts,운송장비·부품,4264.21,-0.34,6.5,6.15,-19.86,3.71
KOSPI,General Services,일반서비스,1351.65,0.57,5.76,6.11,3.05,21.23
KOSPI,Chemicals,화학,4671.44,-0.09,8.37,5.76,15.25,20.88
KOSDAQ,Chemicals,화학,2131.96,1.64,11.94,5.68,-13.94,3.24
KOSPI,Real Estate,부동산,915.06,1.85,5.16,5.6,-8.48,20.72
KOSPI,Transport & Warehousing,운송·창고,2009.65,-0.1,1.84,5.51,8.1,20.63
KOSPI,"Food, Beverage & Tobacco",음식료·담배,4889.92,-2.41,2.86,4.8,8.47,19.92
KOSDAQ,Paper & Timber,종이·목재,6602.43,-1.06,9.15,4.73,-14.24,2.29
KOSDAQ,Financials,금융,1481.16,-1.45,8.97,4.71,-0.28,2.27
KOSPI,Construction,건설,159.03,1.02,9.28,4.21,64.73,19.33
KOSDAQ,Retail & Distribution,유통,478.38,2.12,8.58,4.04,-2.67,1.6
KOSPI,Paper & Timber,종이·목재,218.65,0.54,3.85,3.39,-19.36,18.51
KOSDAQ,Metals,금속,1816.48,-0.3,9.23,3.38,-2.99,0.94
KOSDAQ,"Food, Beverage & Tobacco",음식료·담배,4297.12,0.44,6.03,3.34,-13.32,0.9
KOSDAQ,Transport & Warehousing,운송·창고,3062.38,1.77,3.43,3.04,14.61,0.6
KOSDAQ,Telecom,통신,989.93,0.65,3.26,2.5,-13.08,0.06
KOSDAQ,Construction,건설,75.17,1.53,7.66,1.17,-7.39,-1.27
KOSDAQ,Medical & Precision Instruments,의료·정밀기기,2008.14,1.48,7.66,1.04,-17.32,-1.4
KOSDAQ,Other Manufacturing,기타제조,531.52,0.89,4.01,1.02,-19.73,-1.42
KOSDAQ,Media & Entertainment,오락·문화,301.54,0.09,3.17,0.29,-41.84,-2.15
KOSDAQ,Electronics & Semiconductors,전기전자,1621.67,-0.11,10.84,0.14,10.0,-2.3
KOSPI,Non-metallic Minerals,비금속,3560.21,0.4,4.31,0.11,-12.45,15.23
KOSPI,Utilities (Electricity & Gas),전기·가스,1098.16,-0.86,1.62,-0.16,-20.03,14.96
KOSPI,Machinery & Equipment,기계·장비,2997.59,-1.1,6.73,-0.62,8.73,14.5
KOSDAQ,Textiles & Apparel,섬유·의류,26.93,1.2,6.02,-1.07,-34.84,-3.51
KOSPI,Telecom,통신,602.7,1.52,-1.87,-1.65,25.37,13.47
KOSDAQ,Publishing & Media,출판·매체복제,1299.45,1.12,2.51,-2.64,-40.41,-5.08
KOSPI,Transport Equipment & Parts,운송장비·부품,5155.55,-3.37,3.72,-2.94,8.28,12.18
KOSPI,Textiles & Apparel,섬유·의류,224.61,-0.09,4.04,-5.24,-5.57,9.88
KOSDAQ,Machinery & Equipment,기계·장비,766.76,2.28,8.58,-6.83,16.64,-9.27
KOSPI,Insurance,보험,45925.85,2.47,5.02,-7.37,51.81,7.75
KOSDAQ,Non-metallic Minerals,비금속,63042.27,0.85,12.22,-8.2,26.3,-10.64
KOSPI,Medical & Precision Instruments,의료·정밀기기,1634.4,2.26,5.01,-8.53,10.23,6.59
KOSPI,Retail & Distribution,유통,611.1,0.88,4.76,-8.88,27.71,6.24
KOSPI,Financials,금융,1080.73,-0.16,0.32,-10.39,38.17,4.73
KOSPI,Media & Entertainment,오락·문화,870.3,-0.97,0.5,-11.65,-40.01,3.47
KOSPI,Securities,증권,5362.92,-0.59,2.7,-12.06,24.72,3.06
KOSPI,Electronics & Semiconductors,전기전자,96969.13,1.62,-2.83,-22.67,85.78,-7.55
