# K-Export Stars Korean sector performance · as of 2026-09-03 · Source: KRX Open API · CC BY 4.0 · kexportstars.com/tools/
market,sector_en,sector_ko,close,return_1d_pct,return_1w_pct,return_1m_pct,return_ytd_pct,excess_1m_vs_market_pp
KOSDAQ,KOSDAQ,코스닥,790.21,-1.71,-5.66,1.22,-16.43,
KOSPI,KOSPI,코스피,6579.48,0.26,-4.82,3.47,52.67,
KOSDAQ,Non-metallic Minerals,비금속,65943.37,-1.26,-0.59,17.39,32.11,16.17
KOSDAQ,Telecom,통신,1121.4,-0.9,3.37,16.98,-1.54,15.76
KOSPI,Insurance,보험,50332.79,4.44,1.71,15.1,66.37,11.63
KOSDAQ,Textiles & Apparel,섬유·의류,28.66,-1.24,1.42,12.83,-30.66,11.61
KOSPI,Chemicals,화학,4787.5,0.6,2.15,11.06,18.12,7.59
KOSDAQ,Retail & Distribution,유통,488.87,-1.15,-0.22,10.96,-0.53,9.74
KOSPI,Construction,건설,161.31,3.45,-7.94,10.85,67.09,7.38
KOSDAQ,Transport & Warehousing,운송·창고,3221.61,2.17,2.29,8.81,20.57,7.59
KOSPI,Retail & Distribution,유통,623.31,0.31,-0.2,6.85,30.26,3.38
KOSPI,Metals,금속,6908.37,2.09,-5.39,6.33,6.83,2.86
KOSDAQ,Paper & Timber,종이·목재,6429.44,0.03,-2.46,6.29,-16.49,5.07
KOSDAQ,Machinery & Equipment,기계·장비,750.08,-1.29,-5.29,6.22,14.1,5.0
KOSPI,Non-metallic Minerals,비금속,3623.78,1.19,0.62,6.17,-10.89,2.7
KOSPI,Machinery & Equipment,기계·장비,2977.81,2.5,-5.8,6.03,8.01,2.56
KOSPI,General Services,일반서비스,1350.25,1.54,-4.47,5.65,2.94,2.18
KOSPI,Paper & Timber,종이·목재,222.37,-0.39,0.95,5.61,-17.98,2.14
KOSDAQ,Chemicals,화학,2002.7,-1.44,-5.38,5.16,-19.15,3.94
KOSPI,"Food, Beverage & Tobacco",음식료·담배,4990.94,-0.51,0.12,4.98,10.71,1.51
KOSDAQ,Construction,건설,73.16,-0.79,-6.14,4.78,-9.87,3.56
KOSDAQ,Metals,금속,1739.86,0.26,-2.52,4.63,-7.09,3.41
KOSPI,Electronics & Semiconductors,전기전자,103786.6,-0.53,-6.57,4.0,98.84,0.53
KOSPI,Financials,금융,1117.35,1.91,-0.25,3.72,42.86,0.25
KOSDAQ,Other Manufacturing,기타제조,528.67,-0.49,-0.91,3.45,-20.16,2.23
KOSPI,Real Estate,부동산,899.04,-0.44,-0.23,3.32,-10.08,-0.15
KOSPI,Transport & Warehousing,운송·창고,2035.7,2.61,0.49,3.16,9.5,-0.31
KOSDAQ,Electronics & Semiconductors,전기전자,1506.7,-1.56,-6.65,2.98,2.2,1.76
KOSPI,Textiles & Apparel,섬유·의류,221.0,-1.56,1.41,2.37,-7.08,-1.1
KOSPI,Pharmaceuticals,제약,15835.93,-0.96,-5.08,1.83,-10.66,-1.64
KOSDAQ,Financials,금융,1373.45,-0.74,-7.9,1.04,-7.53,-0.18
KOSPI,Medical & Precision Instruments,의료·정밀기기,1565.25,-1.13,-0.27,0.57,5.57,-2.9
KOSDAQ,"Food, Beverage & Tobacco",음식료·담배,4037.21,-0.39,-0.42,-0.39,-18.57,-1.61
KOSPI,Telecom,통신,611.6,-1.38,-5.19,-0.42,27.23,-3.89
KOSPI,Media & Entertainment,오락·문화,854.98,-0.03,-0.64,-1.27,-41.07,-4.74
KOSDAQ,General Services,일반서비스,4084.02,-3.87,-7.76,-1.43,-34.12,-2.65
KOSDAQ,IT Services,IT 서비스,628.71,-1.6,-3.88,-2.23,-31.93,-3.45
KOSDAQ,Publishing & Media,출판·매체복제,1235.73,-1.0,-0.1,-2.52,-43.34,-3.74
KOSPI,Securities,증권,5028.9,0.28,-4.34,-3.69,16.96,-7.16
KOSPI,IT Services,IT 서비스,1180.75,-1.1,-3.15,-3.72,-9.69,-7.19
KOSPI,Transport Equipment & Parts,운송장비·부품,4780.42,2.69,-4.7,-3.82,0.4,-7.29
KOSPI,Utilities (Electricity & Gas),전기·가스,1037.85,3.22,-3.43,-3.96,-24.42,-7.43
KOSDAQ,Transport Equipment & Parts,운송장비·부품,3844.03,-0.27,-4.31,-3.99,-27.75,-5.21
KOSDAQ,Pharmaceuticals,제약,8701.16,-2.32,-7.27,-5.49,-34.52,-6.71
KOSDAQ,Media & Entertainment,오락·문화,275.25,-0.19,-0.67,-5.82,-46.91,-7.04
KOSDAQ,Medical & Precision Instruments,의료·정밀기기,1713.21,-1.26,-5.06,-8.15,-29.46,-9.37
