# K-Export Stars Korean sector performance · as of 2026-09-17 · Source: KRX Open API · CC BY 4.0 · kexportstars.com/tools/
market,sector_en,sector_ko,close,return_1d_pct,return_1w_pct,return_1m_pct,return_ytd_pct,excess_1m_vs_market_pp
KOSDAQ,KOSDAQ,코스닥,822.18,0.76,-1.76,-0.28,-13.05,
KOSPI,KOSPI,코스피,6715.41,-0.04,-4.53,3.77,55.82,
KOSDAQ,Telecom,통신,1105.62,-0.02,-3.34,11.73,-2.92,12.01
KOSDAQ,Metals,금속,1887.61,2.41,0.74,11.17,0.8,11.45
KOSDAQ,Non-metallic Minerals,비금속,69934.83,0.24,-2.23,8.91,40.11,9.19
KOSPI,General Services,일반서비스,1442.09,0.98,0.91,8.64,9.94,4.87
KOSPI,Medical & Precision Instruments,의료·정밀기기,1675.94,0.97,0.22,8.21,13.03,4.44
KOSPI,Electronics & Semiconductors,전기전자,108282.8,-0.57,-5.45,7.14,107.46,3.37
KOSPI,Machinery & Equipment,기계·장비,3157.63,1.97,-5.06,7.04,14.53,3.27
KOSPI,Construction,건설,170.34,0.0,-3.8,5.42,76.44,1.65
KOSDAQ,Machinery & Equipment,기계·장비,813.71,0.38,-2.53,4.79,23.78,5.07
KOSDAQ,Electronics & Semiconductors,전기전자,1635.03,1.29,-1.45,4.47,10.91,4.75
KOSDAQ,Publishing & Media,출판·매체복제,1289.8,3.58,2.59,3.84,-40.86,4.12
KOSDAQ,Media & Entertainment,오락·문화,286.91,-2.31,1.29,3.71,-44.66,3.99
KOSDAQ,Transport & Warehousing,운송·창고,3192.2,0.04,-0.51,3.46,19.46,3.74
KOSPI,Insurance,보험,47254.16,0.29,-3.67,3.36,56.2,-0.41
KOSPI,Textiles & Apparel,섬유·의류,224.26,0.95,2.56,3.1,-5.71,-0.67
KOSDAQ,IT Services,IT 서비스,661.09,1.21,1.43,2.97,-28.42,3.25
KOSPI,Non-metallic Minerals,비금속,3515.73,0.38,-2.15,2.8,-13.54,-0.97
KOSPI,Retail & Distribution,유통,609.12,0.81,-3.9,2.14,27.3,-1.63
KOSPI,Financials,금융,1102.62,0.15,-3.96,2.05,40.97,-1.72
KOSDAQ,Transport Equipment & Parts,운송장비·부품,4261.2,2.09,4.23,1.99,-19.91,2.27
KOSPI,Transport & Warehousing,운송·창고,2027.63,1.77,-0.3,1.84,9.07,-1.93
KOSDAQ,Construction,건설,75.19,0.01,-1.93,1.77,-7.37,2.05
KOSDAQ,Other Manufacturing,기타제조,536.08,0.26,0.93,1.58,-19.04,1.86
KOSDAQ,Paper & Timber,종이·목재,6376.14,0.68,-2.55,1.14,-17.18,1.42
KOSPI,Chemicals,화학,4700.24,0.72,-3.24,0.81,15.96,-2.96
KOSDAQ,Chemicals,화학,2085.26,0.29,0.02,0.73,-15.82,1.01
KOSPI,Paper & Timber,종이·목재,217.29,-0.42,-1.94,0.62,-19.86,-3.15
KOSDAQ,Retail & Distribution,유통,490.4,-0.57,-1.52,0.47,-0.22,0.75
KOSPI,Utilities (Electricity & Gas),전기·가스,997.05,0.51,-4.53,0.22,-27.39,-3.55
KOSPI,Metals,금속,6764.4,0.92,-2.75,-0.64,4.61,-4.41
KOSDAQ,Financials,금융,1397.99,1.11,-3.33,-0.67,-5.88,-0.39
KOSDAQ,"Food, Beverage & Tobacco",음식료·담배,3986.28,0.19,-0.96,-0.75,-19.59,-0.47
KOSPI,Real Estate,부동산,896.26,0.2,0.33,-1.38,-10.36,-5.15
KOSPI,Media & Entertainment,오락·문화,823.58,-1.49,-2.3,-1.43,-43.23,-5.2
KOSPI,"Food, Beverage & Tobacco",음식료·담배,4731.58,0.93,-0.44,-1.74,4.96,-5.51
KOSPI,Securities,증권,4883.36,-0.21,-5.0,-3.53,13.57,-7.3
KOSDAQ,Textiles & Apparel,섬유·의류,27.32,-0.04,-1.8,-4.38,-33.9,-4.1
KOSPI,Telecom,통신,604.53,0.15,-0.7,-4.96,25.76,-8.73
KOSDAQ,Medical & Precision Instruments,의료·정밀기기,1734.73,0.97,-4.58,-4.96,-28.58,-4.68
KOSPI,Pharmaceuticals,제약,15214.04,0.28,-1.25,-6.2,-14.17,-9.97
KOSPI,IT Services,IT 서비스,1126.28,-0.31,-4.05,-6.82,-13.86,-10.59
KOSPI,Transport Equipment & Parts,운송장비·부품,4710.23,2.4,-2.47,-9.08,-1.07,-12.85
KOSDAQ,General Services,일반서비스,4004.71,0.62,-3.43,-9.12,-35.4,-8.84
KOSDAQ,Pharmaceuticals,제약,8426.01,0.92,-2.26,-10.89,-36.59,-10.61
