# K-Export Stars Korean sector performance · as of 2026-09-14 · Source: KRX Open API · CC BY 4.0 · kexportstars.com/tools/
market,sector_en,sector_ko,close,return_1d_pct,return_1w_pct,return_1m_pct,return_ytd_pct,excess_1m_vs_market_pp
KOSDAQ,KOSDAQ,코스닥,806.79,-1.69,-1.87,-6.34,-14.68,
KOSPI,KOSPI,코스피,6684.37,-3.26,-4.45,-1.89,55.1,
KOSDAQ,Telecom,통신,1161.87,2.38,3.42,19.63,2.02,25.97
KOSPI,General Services,일반서비스,1435.97,-0.93,4.02,7.01,9.48,8.9
KOSPI,Insurance,보험,48908.19,-1.82,-1.38,6.87,61.67,8.76
KOSDAQ,Transport & Warehousing,운송·창고,3205.45,-0.24,-1.41,5.84,19.96,12.18
KOSPI,Construction,건설,173.03,-4.1,1.58,5.56,79.23,7.45
KOSPI,Transport & Warehousing,운송·창고,2060.58,1.18,-1.15,4.03,10.84,5.92
KOSDAQ,Media & Entertainment,오락·문화,293.89,2.23,3.3,3.57,-43.31,9.91
KOSDAQ,Textiles & Apparel,섬유·의류,27.31,-1.55,-4.31,3.25,-33.92,9.59
KOSPI,Non-metallic Minerals,비금속,3573.74,-0.24,-1.35,3.14,-12.12,5.03
KOSDAQ,Non-metallic Minerals,비금속,68298.23,-0.55,-3.14,2.7,36.83,9.04
KOSPI,Machinery & Equipment,기계·장비,3187.26,-2.92,-1.76,2.54,15.61,4.43
KOSPI,Paper & Timber,종이·목재,220.08,-0.09,-1.98,2.51,-18.83,4.4
KOSDAQ,Metals,금속,1865.6,-0.65,3.52,2.11,-0.37,8.45
KOSDAQ,Retail & Distribution,유통,492.53,-1.09,-1.57,1.93,0.21,8.27
KOSPI,"Food, Beverage & Tobacco",음식료·담배,4802.72,0.46,-0.4,1.32,6.54,3.21
KOSPI,Media & Entertainment,오락·문화,860.22,1.14,-1.36,1.03,-40.71,2.92
KOSPI,Financials,금융,1128.98,-1.4,-2.61,0.84,44.34,2.73
KOSPI,Telecom,통신,614.6,0.06,-3.03,0.34,27.85,2.23
KOSPI,Real Estate,부동산,906.19,0.01,1.86,0.33,-9.37,2.22
KOSPI,Chemicals,화학,4721.41,-1.17,-1.89,0.01,16.49,1.9
KOSDAQ,Other Manufacturing,기타제조,529.03,-0.26,-1.19,-1.03,-20.1,5.31
KOSPI,Textiles & Apparel,섬유·의류,222.73,1.47,1.41,-1.07,-6.36,0.82
KOSDAQ,IT Services,IT 서비스,661.42,0.98,2.6,-1.15,-28.39,5.19
KOSPI,Retail & Distribution,유통,615.14,-1.18,-3.37,-1.17,28.56,0.72
KOSDAQ,Machinery & Equipment,기계·장비,787.83,-2.55,-2.52,-1.18,19.84,5.16
KOSDAQ,Publishing & Media,출판·매체복제,1268.09,-1.12,-0.67,-1.28,-41.85,5.06
KOSDAQ,Construction,건설,75.76,-0.95,0.13,-1.6,-6.67,4.74
KOSPI,Electronics & Semiconductors,전기전자,106175.5,-4.75,-6.09,-1.7,103.42,0.19
KOSPI,Utilities (Electricity & Gas),전기·가스,1024.79,-2.9,-1.07,-2.29,-25.37,-0.4
KOSPI,Medical & Precision Instruments,의료·정밀기기,1611.41,-1.5,-2.3,-3.44,8.68,-1.55
KOSDAQ,Paper & Timber,종이·목재,6313.8,-1.61,-1.11,-3.82,-17.99,2.52
KOSPI,Metals,금속,6814.6,-0.31,-0.72,-4.02,5.38,-2.13
KOSDAQ,Electronics & Semiconductors,전기전자,1574.16,-2.35,0.32,-4.27,6.78,2.07
KOSDAQ,"Food, Beverage & Tobacco",음식료·담배,3990.84,-0.69,-1.65,-5.15,-19.5,1.19
KOSDAQ,Chemicals,화학,2027.58,-0.79,-1.92,-5.54,-18.15,0.8
KOSDAQ,Transport Equipment & Parts,운송장비·부품,4046.79,-1.37,1.52,-6.4,-23.94,-0.06
KOSDAQ,Financials,금융,1386.44,-2.06,-0.93,-7.84,-6.65,-1.5
KOSPI,Securities,증권,5065.23,-0.32,-1.8,-7.92,17.8,-6.03
KOSPI,Pharmaceuticals,제약,15295.65,0.29,-3.1,-8.13,-13.7,-6.24
KOSPI,Transport Equipment & Parts,운송장비·부품,4839.7,-0.26,-0.21,-9.15,1.64,-7.26
KOSPI,IT Services,IT 서비스,1154.13,-0.98,-6.15,-10.17,-11.73,-8.28
KOSDAQ,Medical & Precision Instruments,의료·정밀기기,1722.35,-2.61,-4.44,-11.56,-29.09,-5.22
KOSDAQ,General Services,일반서비스,3979.63,-2.35,-5.51,-14.64,-35.8,-8.3
KOSDAQ,Pharmaceuticals,제약,8391.31,-1.17,-5.09,-16.18,-36.85,-9.84
