# K-Export Stars Korean sector performance · as of 2026-09-08 · Source: KRX Open API · CC BY 4.0 · kexportstars.com/tools/
market,sector_en,sector_ko,close,return_1d_pct,return_1w_pct,return_1m_pct,return_ytd_pct,excess_1m_vs_market_pp
KOSDAQ,KOSDAQ,코스닥,811.88,-1.25,-1.14,1.64,-14.14,
KOSPI,KOSPI,코스피,6954.52,-0.58,1.74,11.12,61.37,
KOSDAQ,Non-metallic Minerals,비금속,69935.89,-0.81,6.25,24.81,40.11,23.17
KOSPI,Electronics & Semiconductors,전기전자,112586.9,-0.41,3.21,18.26,115.71,7.14
KOSDAQ,Telecom,통신,1114.31,-0.81,-2.82,15.27,-2.16,13.63
KOSDAQ,Machinery & Equipment,기계·장비,794.19,-1.73,3.36,14.37,20.81,12.73
KOSPI,Construction,건설,175.52,3.04,8.18,13.78,81.81,2.66
KOSPI,Machinery & Equipment,기계·장비,3271.15,0.83,7.73,12.86,18.65,1.74
KOSDAQ,Retail & Distribution,유통,494.82,-1.12,0.53,9.67,0.68,8.03
KOSPI,Insurance,보험,48921.76,-1.35,-2.24,9.54,61.71,-1.58
KOSDAQ,Transport & Warehousing,운송·창고,3224.6,-0.82,1.1,8.32,20.68,6.68
KOSPI,Medical & Precision Instruments,의료·정밀기기,1614.77,-2.1,2.99,8.3,8.91,-2.82
KOSDAQ,Textiles & Apparel,섬유·의류,28.04,-1.75,-3.01,6.78,-32.16,5.14
KOSPI,Financials,금융,1150.93,-0.72,1.36,6.33,47.15,-4.79
KOSPI,General Services,일반서비스,1404.61,1.74,3.18,6.2,7.08,-4.92
KOSPI,Retail & Distribution,유통,636.13,-0.07,-1.72,5.0,32.94,-6.12
KOSDAQ,Metals,금속,1816.62,0.8,2.73,4.75,-2.99,3.11
KOSDAQ,Construction,건설,75.55,-0.15,-0.17,4.44,-6.92,2.8
KOSDAQ,Electronics & Semiconductors,전기전자,1556.47,-0.81,-1.1,3.49,5.58,1.85
KOSPI,Paper & Timber,종이·목재,222.83,-0.75,-0.6,3.07,-17.81,-8.05
KOSPI,Telecom,통신,625.36,-1.33,-1.34,2.88,30.09,-8.24
KOSDAQ,Chemicals,화학,2035.24,-1.55,-3.01,2.87,-17.84,1.23
KOSDAQ,Other Manufacturing,기타제조,531.6,-0.71,-0.02,2.76,-19.72,1.12
KOSPI,Chemicals,화학,4757.93,-1.14,-3.12,2.6,17.39,-8.52
KOSPI,Non-metallic Minerals,비금속,3592.21,-0.84,-1.83,2.34,-11.66,-8.78
KOSPI,Metals,금속,6822.35,-0.61,-2.39,1.62,5.5,-9.5
KOSPI,Real Estate,부동산,896.32,0.75,-1.0,0.72,-10.35,-10.4
KOSPI,Transport & Warehousing,운송·창고,2052.66,-1.53,0.39,0.44,10.42,-10.68
KOSPI,Securities,증권,5162.93,0.1,-0.76,-0.07,20.07,-11.19
KOSDAQ,Publishing & Media,출판·매체복제,1269.07,-0.59,1.83,-0.36,-41.81,-2.0
KOSPI,Media & Entertainment,오락·문화,873.56,0.17,0.66,-1.26,-39.79,-12.38
KOSDAQ,Financials,금융,1383.86,-1.12,-4.34,-1.27,-6.83,-2.91
KOSPI,Textiles & Apparel,섬유·의류,219.6,-0.01,-2.98,-1.67,-7.67,-12.79
KOSDAQ,IT Services,IT 서비스,641.67,-0.46,-2.2,-2.08,-30.53,-3.72
KOSDAQ,Transport Equipment & Parts,운송장비·부품,3960.0,-0.66,-0.5,-2.35,-25.57,-3.99
KOSPI,Utilities (Electricity & Gas),전기·가스,1069.73,3.27,3.5,-2.76,-22.1,-13.88
KOSPI,IT Services,IT 서비스,1190.25,-3.21,-3.85,-2.84,-8.96,-13.96
KOSDAQ,Media & Entertainment,오락·문화,285.67,0.41,1.81,-3.78,-44.9,-5.42
KOSDAQ,"Food, Beverage & Tobacco",음식료·담배,4011.7,-1.14,-2.17,-3.8,-19.08,-5.44
KOSDAQ,Paper & Timber,종이·목재,6335.34,-0.77,-3.43,-4.37,-17.71,-6.01
KOSPI,"Food, Beverage & Tobacco",음식료·담배,4777.94,-0.92,-5.42,-5.34,5.99,-16.46
KOSDAQ,Medical & Precision Instruments,의료·정밀기기,1782.1,-1.13,1.59,-5.59,-26.63,-7.23
KOSPI,Pharmaceuticals,제약,15538.15,-1.56,-4.04,-5.63,-12.34,-16.75
KOSDAQ,General Services,일반서비스,4129.97,-1.94,-4.61,-5.98,-33.38,-7.62
KOSPI,Transport Equipment & Parts,운송장비·부품,4762.66,-1.8,-3.16,-7.93,0.03,-19.05
KOSDAQ,Pharmaceuticals,제약,8679.94,-1.83,-5.33,-8.72,-34.68,-10.36
