# K-Export Stars Korean sector performance · as of 2026-08-18 · Source: KRX Open API · CC BY 4.0 · kexportstars.com/tools/
market,sector_en,sector_ko,close,return_1d_pct,return_1w_pct,return_1m_pct,return_ytd_pct,excess_1m_vs_market_pp
KOSDAQ,KOSDAQ,코스닥,834.2,-3.52,-2.37,5.35,-11.78,
KOSPI,KOSPI,코스피,6869.83,-1.55,9.05,0.72,59.41,
KOSPI,Construction,건설,158.66,-3.5,0.78,13.17,64.35,12.45
KOSDAQ,General Services,일반서비스,4401.13,-5.01,-9.13,12.84,-29.0,7.49
KOSDAQ,Transport Equipment & Parts,운송장비·부품,4274.29,-3.91,-0.11,12.27,-19.67,6.92
KOSPI,IT Services,IT 서비스,1242.46,-5.36,0.79,10.33,-4.97,9.61
KOSPI,Metals,금속,6981.37,-1.34,-2.32,10.15,7.96,9.43
KOSDAQ,Retail & Distribution,유통,486.31,-0.88,3.81,9.75,-1.05,4.4
KOSPI,Pharmaceuticals,제약,16217.11,-2.08,-2.66,9.01,-8.51,8.29
KOSDAQ,Chemicals,화학,2095.64,-2.67,-0.09,8.65,-15.4,3.3
KOSPI,Real Estate,부동산,916.37,-0.76,1.99,8.36,-8.35,7.64
KOSDAQ,Financials,금융,1431.47,-5.77,-4.76,8.23,-3.62,2.88
KOSDAQ,Construction,건설,74.14,-2.68,0.14,8.09,-8.66,2.74
KOSPI,Transport & Warehousing,운송·창고,2040.19,1.16,1.42,7.56,9.75,6.84
KOSPI,Telecom,통신,650.22,0.05,9.53,7.17,35.26,6.45
KOSDAQ,IT Services,IT 서비스,647.8,-3.8,-4.81,6.83,-29.86,1.48
KOSPI,General Services,일반서비스,1328.09,-1.68,-1.18,6.66,1.25,5.94
KOSDAQ,Pharmaceuticals,제약,9521.51,-3.98,-5.86,5.81,-28.35,0.46
KOSDAQ,Other Manufacturing,기타제조,535.38,-0.82,1.62,5.6,-19.15,0.25
KOSDAQ,Electronics & Semiconductors,전기전자,1590.47,-3.41,-2.03,5.33,7.88,-0.02
KOSPI,Chemicals,화학,4734.01,-1.11,1.24,5.32,16.8,4.6
KOSPI,"Food, Beverage & Tobacco",음식료·담배,4860.11,-0.55,-3.01,5.13,7.81,4.41
KOSPI,Machinery & Equipment,기계·장비,3032.27,-3.9,0.05,4.96,9.98,4.24
KOSDAQ,Non-metallic Minerals,비금속,65135.5,-4.95,4.2,3.79,30.5,-1.56
KOSDAQ,Transport & Warehousing,운송·창고,3076.56,-1.9,2.24,3.57,15.14,-1.78
KOSDAQ,Metals,금속,1733.16,-5.22,-4.87,3.28,-7.44,-2.07
KOSDAQ,Textiles & Apparel,섬유·의류,28.18,4.84,5.9,2.81,-31.82,-2.54
KOSPI,Transport Equipment & Parts,운송장비·부품,5313.21,-3.71,-0.41,2.74,11.59,2.02
KOSDAQ,Telecom,통신,981.22,0.23,-0.24,2.46,-13.84,-2.89
KOSPI,Paper & Timber,종이·목재,216.77,-0.23,-0.32,2.31,-20.05,1.59
KOSDAQ,Paper & Timber,종이·목재,6397.78,-2.46,-4.13,2.28,-16.9,-3.07
KOSPI,Non-metallic Minerals,비금속,3464.37,-0.87,-2.3,1.64,-14.81,0.92
KOSDAQ,Machinery & Equipment,기계·장비,790.75,-2.26,5.48,0.18,20.29,-5.17
KOSPI,Retail & Distribution,유통,624.13,-0.87,3.04,0.13,30.43,-0.59
KOSPI,Utilities (Electricity & Gas),전기·가스,1039.45,-1.72,-6.16,-0.17,-24.3,-0.89
KOSPI,Electronics & Semiconductors,전기전자,109473.6,-1.28,14.73,-0.53,109.74,-1.25
KOSDAQ,"Food, Beverage & Tobacco",음식료·담배,4093.26,-2.75,-4.32,-0.62,-17.44,-5.97
KOSDAQ,Medical & Precision Instruments,의료·정밀기기,1874.96,-3.84,-5.25,-1.29,-22.81,-6.64
KOSPI,Financials,금융,1135.07,-0.95,4.86,-1.85,45.12,-2.57
KOSDAQ,Media & Entertainment,오락·문화,274.49,-3.94,-8.89,-2.38,-47.05,-7.73
KOSPI,Insurance,보험,48582.52,2.6,8.4,-2.53,60.59,-3.25
KOSDAQ,Publishing & Media,출판·매체복제,1275.52,-0.59,-0.74,-5.95,-41.51,-11.3
KOSPI,Textiles & Apparel,섬유·의류,222.09,-1.22,-1.21,-6.79,-6.63,-7.51
KOSPI,Securities,증권,5305.89,-4.09,-1.65,-9.23,23.4,-9.95
KOSPI,Medical & Precision Instruments,의료·정밀기기,1612.39,-3.08,0.88,-9.29,8.75,-10.01
KOSPI,Media & Entertainment,오락·문화,839.95,-3.05,-4.43,-9.71,-42.11,-10.43
