# K-Export Stars Korean sector performance · as of 2026-08-07 · Source: KRX Open API · CC BY 4.0 · kexportstars.com/tools/
market,sector_en,sector_ko,close,return_1d_pct,return_1w_pct,return_1m_pct,return_ytd_pct,excess_1m_vs_market_pp
KOSDAQ,KOSDAQ,코스닥,798.81,-0.36,10.98,1.76,-15.52,
KOSPI,KOSPI,코스피,6258.77,-0.6,-5.1,-13.63,45.23,
KOSPI,Pharmaceuticals,제약,16465.14,2.27,6.7,11.17,-7.11,24.8
KOSDAQ,Paper & Timber,종이·목재,6625.0,8.3,13.28,10.74,-13.95,8.98
KOSDAQ,Transport Equipment & Parts,운송장비·부품,4055.49,-0.89,8.02,8.61,-23.78,6.85
KOSPI,Construction,건설,154.26,-2.07,17.42,7.95,59.79,21.58
KOSPI,Metals,금속,6713.85,-0.7,8.47,7.65,3.82,21.28
KOSDAQ,Financials,금융,1401.73,1.75,8.12,6.87,-5.62,5.11
KOSPI,Chemicals,화학,4637.31,4.37,10.46,6.64,14.41,20.27
KOSDAQ,IT Services,IT 서비스,655.29,-0.16,10.07,6.3,-29.05,4.54
KOSPI,IT Services,IT 서비스,1225.01,-1.61,5.34,6.03,-6.31,19.66
KOSPI,Transport & Warehousing,운송·창고,2043.7,0.64,4.57,5.91,9.93,19.54
KOSDAQ,General Services,일반서비스,4392.46,0.82,20.11,5.25,-29.14,3.49
KOSDAQ,Construction,건설,72.34,-0.12,9.57,5.18,-10.88,3.42
KOSPI,"Food, Beverage & Tobacco",음식료·담배,5047.39,3.34,6.49,4.94,11.97,18.57
KOSPI,General Services,일반서비스,1322.67,-0.04,7.25,4.83,0.84,18.46
KOSDAQ,Chemicals,화학,1978.4,0.31,11.34,4.6,-20.13,2.84
KOSDAQ,Metals,금속,1734.31,1.25,10.44,3.96,-7.38,2.2
KOSDAQ,Retail & Distribution,유통,451.21,-0.63,7.18,3.54,-8.2,1.78
KOSDAQ,"Food, Beverage & Tobacco",음식료·담배,4170.31,0.89,5.49,3.52,-15.88,1.76
KOSDAQ,Telecom,통신,966.71,-0.75,4.01,2.84,-15.12,1.08
KOSDAQ,Electronics & Semiconductors,전기전자,1503.94,-0.12,10.27,2.81,2.01,1.05
KOSPI,Paper & Timber,종이·목재,216.19,0.96,6.57,2.77,-20.26,16.4
KOSDAQ,Transport & Warehousing,운송·창고,2976.87,-0.32,1.53,2.01,11.41,0.25
KOSPI,Machinery & Equipment,기계·장비,2898.32,-0.67,7.72,1.79,5.13,15.42
KOSPI,Telecom,통신,607.84,-1.72,5.19,1.18,26.44,14.81
KOSPI,Real Estate,부동산,889.89,1.28,3.2,0.57,-11.0,14.2
KOSDAQ,Other Manufacturing,기타제조,517.34,0.83,4.23,0.32,-21.87,-1.44
KOSDAQ,Medical & Precision Instruments,의료·정밀기기,1887.54,-0.57,10.52,0.25,-22.29,-1.51
KOSDAQ,Pharmaceuticals,제약,9509.33,0.66,16.28,-0.31,-28.44,-2.07
KOSPI,Utilities (Electricity & Gas),전기·가스,1100.07,-0.2,2.89,-1.05,-19.89,12.58
KOSDAQ,Media & Entertainment,오락·문화,296.9,1.34,8.64,-1.37,-42.73,-3.13
KOSPI,Non-metallic Minerals,비금속,3510.19,0.75,5.3,-1.44,-13.68,12.19
KOSDAQ,Textiles & Apparel,섬유·의류,26.26,0.38,7.67,-1.8,-36.46,-3.56
KOSDAQ,Machinery & Equipment,기계·장비,694.42,-3.2,5.5,-3.75,5.63,-5.51
KOSPI,Transport Equipment & Parts,운송장비·부품,5172.94,0.2,6.49,-4.45,8.64,9.18
KOSDAQ,Publishing & Media,출판·매체복제,1273.63,-0.14,3.92,-5.0,-41.6,-6.76
KOSPI,Financials,금융,1082.46,-0.32,-0.07,-6.36,38.4,7.27
KOSPI,Textiles & Apparel,섬유·의류,223.32,0.51,-5.89,-6.73,-6.11,6.9
KOSPI,Medical & Precision Instruments,의료·정밀기기,1491.07,-0.48,-0.24,-8.6,0.57,5.03
KOSPI,Retail & Distribution,유통,605.81,0.9,-0.55,-9.97,26.61,3.66
KOSPI,Insurance,보험,44662.49,-1.79,-4.51,-10.79,47.63,2.84
KOSPI,Media & Entertainment,오락·문화,884.68,2.04,5.9,-12.81,-39.02,0.82
KOSDAQ,Non-metallic Minerals,비금속,56034.21,-2.65,6.35,-12.97,12.26,-14.73
KOSPI,Securities,증권,5166.39,-2.41,-2.32,-13.0,20.15,0.63
KOSPI,Electronics & Semiconductors,전기전자,95201.3,-1.29,-11.04,-21.02,82.4,-7.39
