# K-Export Stars Korean sector performance · as of 2026-08-25 · Source: KRX Open API · CC BY 4.0 · kexportstars.com/tools/
market,sector_en,sector_ko,close,return_1d_pct,return_1w_pct,return_1m_pct,return_ytd_pct,excess_1m_vs_market_pp
KOSDAQ,KOSDAQ,코스닥,827.15,1.7,-0.85,10.55,-12.52,
KOSPI,KOSPI,코스피,6742.74,0.68,-1.85,0.78,56.46,
KOSDAQ,Non-metallic Minerals,비금속,65721.48,4.34,0.9,16.69,31.67,6.14
KOSDAQ,Telecom,통신,1104.1,2.16,12.52,16.23,-3.05,5.68
KOSDAQ,General Services,일반서비스,4385.03,-1.52,-0.37,15.24,-29.26,4.69
KOSDAQ,Machinery & Equipment,기계·장비,779.75,4.64,-1.39,14.4,18.61,3.85
KOSDAQ,Retail & Distribution,유통,491.6,3.63,1.09,13.58,0.02,3.03
KOSDAQ,Chemicals,화학,2096.61,1.73,0.05,13.44,-15.36,2.89
KOSPI,Metals,금속,7271.82,3.2,4.16,11.62,12.45,10.84
KOSDAQ,Financials,금융,1434.92,-0.76,0.24,10.73,-3.39,0.18
KOSDAQ,Pharmaceuticals,제약,9385.76,-0.36,-1.43,10.42,-29.37,-0.13
KOSDAQ,Electronics & Semiconductors,전기전자,1574.17,2.65,-1.02,9.29,6.78,-1.26
KOSDAQ,IT Services,IT 서비스,658.14,1.52,1.6,8.92,-28.74,-1.63
KOSPI,Construction,건설,164.94,8.73,3.96,8.55,70.85,7.77
KOSDAQ,Textiles & Apparel,섬유·의류,27.49,0.07,-2.45,7.34,-33.49,-3.21
KOSPI,Machinery & Equipment,기계·장비,3027.24,6.74,-0.17,7.04,9.8,6.26
KOSPI,Pharmaceuticals,제약,16563.66,-0.89,2.14,6.62,-6.55,5.84
KOSDAQ,Other Manufacturing,기타제조,535.55,0.89,0.03,6.21,-19.12,-4.34
KOSPI,IT Services,IT 서비스,1232.49,-0.54,-0.8,5.92,-5.73,5.14
KOSPI,Paper & Timber,종이·목재,222.43,3.26,2.61,5.55,-17.96,4.77
KOSPI,"Food, Beverage & Tobacco",음식료·담배,4979.81,0.76,2.46,4.84,10.47,4.06
KOSPI,Chemicals,화학,4715.77,0.23,-0.39,4.58,16.35,3.8
KOSPI,Transport & Warehousing,운송·창고,2080.43,1.9,1.97,4.44,11.91,3.66
KOSDAQ,Paper & Timber,종이·목재,6495.61,0.99,1.53,4.29,-15.63,-6.26
KOSDAQ,Transport & Warehousing,운송·창고,3182.74,1.56,3.45,4.13,19.11,-6.42
KOSDAQ,Construction,건설,74.98,3.14,1.13,3.97,-7.63,-6.58
KOSPI,Non-metallic Minerals,비금속,3551.19,0.27,2.51,3.88,-12.67,3.1
KOSPI,General Services,일반서비스,1346.46,2.15,1.38,3.65,2.65,2.87
KOSDAQ,Transport Equipment & Parts,운송장비·부품,4031.82,2.49,-5.67,3.34,-24.22,-7.21
KOSPI,Real Estate,부동산,898.14,-0.54,-1.99,3.18,-10.17,2.4
KOSDAQ,Metals,금속,1713.48,3.88,-1.14,2.45,-8.49,-8.1
KOSPI,Transport Equipment & Parts,운송장비·부품,5108.88,1.32,-3.85,1.07,7.3,0.29
KOSDAQ,Medical & Precision Instruments,의료·정밀기기,1800.75,0.42,-3.96,0.97,-25.86,-9.58
KOSPI,Medical & Precision Instruments,의료·정밀기기,1556.52,3.07,-3.47,0.83,4.98,0.05
KOSPI,Electronics & Semiconductors,전기전자,107053.9,0.29,-2.21,0.17,105.1,-0.61
KOSPI,Retail & Distribution,유통,617.18,0.39,-1.11,0.17,28.98,-0.61
KOSDAQ,"Food, Beverage & Tobacco",음식료·담배,4058.71,1.04,-0.84,0.02,-18.13,-10.53
KOSPI,Telecom,통신,641.93,-1.4,-1.27,-1.0,33.54,-1.78
KOSPI,Insurance,보험,47242.64,0.99,-2.76,-1.48,56.16,-2.26
KOSPI,Financials,금융,1103.48,1.07,-2.78,-1.94,41.08,-2.72
KOSDAQ,Media & Entertainment,오락·문화,274.42,-0.08,-0.03,-2.25,-47.07,-12.8
KOSPI,Securities,증권,5237.08,2.56,-1.3,-4.16,21.8,-4.94
KOSPI,Utilities (Electricity & Gas),전기·가스,1044.32,3.26,0.47,-4.27,-23.95,-5.05
KOSDAQ,Publishing & Media,출판·매체복제,1240.89,1.1,-2.71,-4.8,-43.1,-15.35
KOSPI,Textiles & Apparel,섬유·의류,218.6,-0.31,-1.57,-6.12,-8.09,-6.9
KOSPI,Media & Entertainment,오락·문화,840.58,-0.66,0.08,-11.01,-42.06,-11.79
