# K-Export Stars Korean sector performance · as of 2026-09-07 · Source: KRX Open API · CC BY 4.0 · kexportstars.com/tools/
market,sector_en,sector_ko,close,return_1d_pct,return_1w_pct,return_1m_pct,return_ytd_pct,excess_1m_vs_market_pp
KOSDAQ,KOSDAQ,코스닥,822.19,1.07,-1.45,2.56,-13.05,
KOSPI,KOSPI,코스피,6995.39,4.61,2.57,11.1,62.32,
KOSDAQ,Non-metallic Minerals,비금속,70509.97,4.46,4.74,22.5,41.26,19.94
KOSPI,Electronics & Semiconductors,전기전자,113055.1,6.34,3.85,17.22,116.6,6.12
KOSDAQ,Telecom,통신,1123.4,-0.16,1.32,15.34,-1.36,12.78
KOSDAQ,Machinery & Equipment,기계·장비,808.16,2.41,3.47,12.66,22.94,10.1
KOSPI,Machinery & Equipment,기계·장비,3244.35,6.6,5.42,11.18,17.68,0.08
KOSDAQ,Retail & Distribution,유통,500.41,0.86,-0.86,10.21,1.81,7.65
KOSPI,Medical & Precision Instruments,의료·정밀기기,1649.35,1.46,5.25,10.09,11.24,-1.01
KOSDAQ,Textiles & Apparel,섬유·의류,28.54,0.07,0.67,9.1,-30.95,6.54
KOSPI,Insurance,보험,49591.26,2.06,1.22,9.05,63.92,-2.05
KOSDAQ,Transport & Warehousing,운송·창고,3251.36,-0.09,2.53,8.87,21.68,6.31
KOSPI,Chemicals,화학,4812.58,-0.18,-2.17,8.31,18.74,-2.79
KOSPI,Construction,건설,170.34,4.82,1.31,8.14,76.44,-2.96
KOSPI,Financials,금융,1159.29,3.18,3.65,6.75,48.22,-4.35
KOSPI,Retail & Distribution,유통,636.6,2.88,1.28,6.03,33.04,-5.07
KOSDAQ,Metals,금속,1802.17,1.53,0.88,5.22,-3.76,2.66
KOSPI,Paper & Timber,종이·목재,224.52,0.06,0.76,4.85,-17.19,-6.25
KOSDAQ,Chemicals,화학,2067.29,0.45,-3.42,4.81,-16.55,2.25
KOSDAQ,Construction,건설,75.66,1.24,-1.82,4.46,-6.79,1.9
KOSDAQ,Paper & Timber,종이·목재,6384.47,-0.97,-4.14,4.37,-17.08,1.81
KOSDAQ,Other Manufacturing,기타제조,535.38,0.62,0.43,4.35,-19.15,1.79
KOSPI,General Services,일반서비스,1380.53,1.61,0.74,4.33,5.25,-6.77
KOSDAQ,Electronics & Semiconductors,전기전자,1569.12,1.56,-2.12,4.21,6.44,1.65
KOSPI,Non-metallic Minerals,비금속,3622.75,0.2,-1.35,3.98,-10.91,-7.12
KOSPI,Transport & Warehousing,운송·창고,2084.62,1.42,2.4,2.66,12.14,-8.44
KOSPI,Telecom,통신,633.8,1.42,0.84,2.48,31.84,-8.62
KOSDAQ,Financials,금융,1399.47,0.1,-5.94,1.58,-5.78,-0.98
KOSPI,Metals,금속,6864.33,0.07,-2.5,1.53,6.15,-9.57
KOSPI,Real Estate,부동산,889.63,-1.54,-1.96,1.25,-11.02,-9.85
KOSPI,Media & Entertainment,오락·문화,872.09,0.66,0.34,0.59,-39.89,-10.51
KOSDAQ,Publishing & Media,출판·매체복제,1276.63,0.09,2.44,0.1,-41.46,-2.46
KOSPI,Textiles & Apparel,섬유·의류,219.63,-1.12,-2.16,-1.15,-7.66,-12.25
KOSPI,IT Services,IT 서비스,1229.78,1.46,-0.93,-1.23,-5.94,-12.33
KOSPI,"Food, Beverage & Tobacco",음식료·담배,4822.21,-2.47,-5.73,-1.27,6.97,-12.37
KOSDAQ,IT Services,IT 서비스,644.63,-0.96,-1.82,-1.79,-30.2,-4.35
KOSDAQ,"Food, Beverage & Tobacco",음식료·담배,4057.93,0.07,-1.58,-1.83,-18.15,-4.39
KOSPI,Pharmaceuticals,제약,15784.93,0.3,-2.75,-1.95,-10.94,-13.05
KOSPI,Securities,증권,5157.88,0.68,-0.4,-2.57,19.96,-13.67
KOSDAQ,Transport Equipment & Parts,운송장비·부품,3986.25,0.67,-0.55,-2.58,-25.08,-5.14
KOSDAQ,Media & Entertainment,오락·문화,284.51,0.91,1.42,-2.88,-45.12,-5.44
KOSDAQ,General Services,일반서비스,4211.72,0.55,-3.97,-3.33,-32.06,-5.89
KOSDAQ,Medical & Precision Instruments,의료·정밀기기,1802.38,2.82,0.78,-5.06,-25.79,-7.62
KOSPI,Utilities (Electricity & Gas),전기·가스,1035.88,1.31,1.15,-6.02,-24.56,-17.12
KOSPI,Transport Equipment & Parts,운송장비·부품,4849.85,1.37,-2.56,-6.06,1.86,-17.16
KOSDAQ,Pharmaceuticals,제약,8841.5,-0.42,-5.31,-6.41,-33.47,-8.97
