# K-Export Stars Korean sector performance · as of 2026-09-15 · Source: KRX Open API · CC BY 4.0 · kexportstars.com/tools/
market,sector_en,sector_ko,close,return_1d_pct,return_1w_pct,return_1m_pct,return_ytd_pct,excess_1m_vs_market_pp
KOSDAQ,KOSDAQ,코스닥,812.41,0.7,0.07,-6.04,-14.08,
KOSPI,KOSPI,코스피,6627.26,-0.85,-4.71,-5.03,53.78,
KOSDAQ,Telecom,통신,1152.98,-0.77,3.47,17.78,1.24,23.82
KOSPI,Construction,건설,174.48,0.84,-0.59,6.12,80.73,11.15
KOSPI,General Services,일반서비스,1429.12,-0.48,1.74,5.8,8.95,10.83
KOSDAQ,Media & Entertainment,오락·문화,295.25,0.46,3.35,3.32,-43.05,9.36
KOSDAQ,Transport & Warehousing,운송·창고,3197.35,-0.25,-0.85,1.95,19.66,7.99
KOSDAQ,Textiles & Apparel,섬유·의류,27.27,-0.15,-2.75,1.45,-34.02,7.49
KOSDAQ,Metals,금속,1851.84,-0.74,1.94,1.27,-1.11,7.31
KOSPI,Non-metallic Minerals,비금속,3531.0,-1.2,-1.7,1.04,-13.17,6.07
KOSPI,Paper & Timber,종이·목재,218.32,-0.8,-2.02,0.49,-19.48,5.52
KOSPI,Insurance,보험,47400.75,-3.08,-3.11,0.11,56.68,5.14
KOSPI,Transport & Warehousing,운송·창고,2016.22,-2.15,-1.78,-0.03,8.46,5.0
KOSDAQ,Retail & Distribution,유통,489.38,-0.64,-1.1,-0.25,-0.43,5.79
KOSPI,Machinery & Equipment,기계·장비,3138.44,-1.53,-4.06,-0.54,13.84,4.49
KOSDAQ,Publishing & Media,출판·매체복제,1275.79,0.61,0.53,-0.57,-41.5,5.47
KOSDAQ,Construction,건설,75.63,-0.17,0.11,-0.72,-6.83,5.32
KOSDAQ,Other Manufacturing,기타제조,535.09,1.15,0.66,-0.87,-19.19,5.17
KOSPI,Textiles & Apparel,섬유·의류,222.79,0.03,1.45,-0.91,-6.33,4.12
KOSDAQ,Non-metallic Minerals,비금속,67890.86,-0.6,-2.92,-0.93,36.02,5.11
KOSDAQ,IT Services,IT 서비스,664.73,0.5,3.59,-1.29,-28.03,4.75
KOSPI,Chemicals,화학,4717.76,-0.08,-0.84,-1.45,16.4,3.58
KOSPI,Media & Entertainment,오락·문화,850.29,-1.15,-2.66,-1.85,-41.39,3.18
KOSPI,Medical & Precision Instruments,의료·정밀기기,1631.25,1.23,1.02,-1.95,10.02,3.08
KOSDAQ,Machinery & Equipment,기계·장비,792.87,0.64,-0.17,-2.0,20.61,4.04
KOSPI,Real Estate,부동산,900.35,-0.64,0.45,-2.49,-9.95,2.54
KOSPI,"Food, Beverage & Tobacco",음식료·담배,4728.02,-1.56,-1.04,-3.26,4.88,1.77
KOSDAQ,Electronics & Semiconductors,전기전자,1589.04,0.95,2.09,-3.5,7.79,2.54
KOSPI,Financials,금융,1104.36,-2.18,-4.05,-3.63,41.2,1.4
KOSDAQ,Paper & Timber,종이·목재,6316.35,0.04,-0.3,-3.7,-17.96,2.34
KOSPI,Metals,금속,6768.47,-0.68,-0.79,-4.35,4.67,0.68
KOSPI,Electronics & Semiconductors,전기전자,105920.6,-0.24,-5.92,-4.49,102.93,0.54
KOSPI,Utilities (Electricity & Gas),전기·가스,1008.07,-1.63,-5.76,-4.69,-26.59,0.34
KOSPI,Retail & Distribution,유통,598.2,-2.75,-5.96,-4.98,25.02,0.05
KOSDAQ,Chemicals,화학,2044.53,0.84,0.46,-5.05,-17.46,0.99
KOSDAQ,Transport Equipment & Parts,운송장비·부품,4210.41,4.04,6.32,-5.34,-20.87,0.7
KOSDAQ,"Food, Beverage & Tobacco",음식료·담배,3968.49,-0.56,-1.08,-5.71,-19.95,0.33
KOSPI,Telecom,통신,605.48,-1.48,-3.18,-6.83,25.95,-1.8
KOSDAQ,Financials,금융,1412.01,1.84,2.03,-7.05,-4.93,-1.01
KOSPI,Pharmaceuticals,제약,15225.74,-0.46,-2.01,-8.07,-14.1,-3.04
KOSPI,Securities,증권,4957.02,-2.14,-3.99,-10.39,15.28,-5.36
KOSDAQ,Medical & Precision Instruments,의료·정밀기기,1728.77,0.37,-2.99,-11.34,-28.82,-5.3
KOSPI,IT Services,IT 서비스,1154.74,0.05,-2.98,-12.05,-11.68,-7.02
KOSDAQ,General Services,일반서비스,3999.95,0.51,-3.15,-13.67,-35.47,-7.63
KOSDAQ,Pharmaceuticals,제약,8454.41,0.75,-2.6,-14.74,-36.38,-8.7
KOSPI,Transport Equipment & Parts,운송장비·부품,4677.53,-3.35,-1.79,-15.23,-1.76,-10.2
