# K-Export Stars Korean sector performance · as of 2026-08-28 · Source: KRX Open API · CC BY 4.0 · kexportstars.com/tools/
market,sector_en,sector_ko,close,return_1d_pct,return_1w_pct,return_1m_pct,return_ytd_pct,excess_1m_vs_market_pp
KOSDAQ,KOSDAQ,코스닥,838.41,0.09,4.55,26.52,-11.33,
KOSPI,KOSPI,코스피,6788.88,-1.79,-1.79,19.88,57.53,
KOSPI,Construction,건설,174.88,-0.19,15.6,44.89,81.15,25.01
KOSDAQ,Non-metallic Minerals,비금속,65800.7,-0.81,4.94,38.29,31.83,11.77
KOSPI,Machinery & Equipment,기계·장비,3190.94,0.94,12.91,32.65,15.74,12.77
KOSDAQ,Machinery & Equipment,기계·장비,778.79,-1.66,3.65,31.87,18.47,5.35
KOSDAQ,General Services,일반서비스,4479.24,1.16,2.55,31.79,-27.74,5.27
KOSDAQ,Electronics & Semiconductors,전기전자,1589.73,-1.51,5.61,31.32,7.83,4.8
KOSDAQ,Chemicals,화학,2146.74,1.42,5.89,31.02,-13.34,4.5
KOSDAQ,Financials,금융,1489.92,-0.09,8.87,30.47,0.31,3.95
KOSDAQ,Retail & Distribution,유통,505.09,3.09,6.97,29.52,2.77,3.0
KOSPI,Metals,금속,7287.19,-0.2,9.13,28.4,12.69,8.52
KOSDAQ,Construction,건설,77.9,-0.06,7.27,24.88,-4.03,-1.64
KOSDAQ,Metals,금속,1800.05,0.86,10.27,24.49,-3.87,-2.03
KOSPI,Electronics & Semiconductors,전기전자,107548.8,-3.19,-4.42,23.24,106.05,3.36
KOSDAQ,Telecom,통신,1099.82,1.38,5.86,22.25,-3.43,-4.27
KOSDAQ,Textiles & Apparel,섬유·의류,28.69,1.52,0.0,21.77,-30.58,-4.75
KOSPI,Chemicals,화학,4866.08,3.83,6.45,20.96,20.06,1.08
KOSDAQ,Pharmaceuticals,제약,9575.15,2.05,4.3,20.29,-27.94,-6.23
KOSPI,Medical & Precision Instruments,의료·정밀기기,1572.44,0.19,6.13,19.7,6.05,-0.18
KOSPI,Insurance,보험,50137.74,1.32,-0.87,19.6,65.73,-0.28
KOSPI,General Services,일반서비스,1409.79,-0.25,9.02,19.42,7.48,-0.46
KOSDAQ,IT Services,IT 서비스,665.93,1.81,3.46,17.95,-27.9,-8.57
KOSDAQ,Paper & Timber,종이·목재,6569.32,-0.34,4.25,17.69,-14.67,-8.83
KOSPI,Retail & Distribution,유통,625.44,0.14,-1.97,15.69,30.71,-4.19
KOSPI,Non-metallic Minerals,비금속,3677.59,2.12,6.38,14.6,-9.56,-5.28
KOSDAQ,Transport Equipment & Parts,운송장비·부품,4006.93,-0.26,1.8,14.6,-24.69,-11.92
KOSPI,Financials,금융,1121.83,0.15,0.57,14.1,43.43,-5.78
KOSPI,Transport Equipment & Parts,운송장비·부품,5008.63,-0.15,-0.17,13.7,5.19,-6.18
KOSDAQ,Transport & Warehousing,운송·창고,3172.84,0.74,2.37,13.54,18.74,-12.98
KOSPI,Telecom,통신,647.65,0.4,-0.4,12.96,34.72,-6.92
KOSDAQ,Other Manufacturing,기타제조,536.22,0.5,2.49,12.78,-19.02,-13.74
KOSPI,Paper & Timber,종이·목재,223.14,1.3,4.19,12.24,-17.7,-7.64
KOSDAQ,Medical & Precision Instruments,의료·정밀기기,1794.42,-0.56,3.78,12.12,-26.12,-14.4
KOSPI,IT Services,IT 서비스,1243.99,2.03,0.93,11.66,-4.85,-8.22
KOSPI,Securities,증권,5266.41,0.17,2.1,11.57,22.48,-8.31
KOSPI,Transport & Warehousing,운송·창고,2052.2,1.31,3.8,10.31,10.39,-9.57
KOSDAQ,"Food, Beverage & Tobacco",음식료·담배,4127.31,1.8,3.62,7.54,-16.75,-18.98
KOSPI,Pharmaceuticals,제약,16181.57,-3.01,-0.53,6.99,-8.71,-12.89
KOSPI,"Food, Beverage & Tobacco",음식료·담배,5118.8,2.68,5.5,6.48,13.55,-13.4
KOSDAQ,Publishing & Media,출판·매체복제,1246.36,0.76,2.44,6.4,-42.85,-20.12
KOSPI,Real Estate,부동산,902.55,0.16,0.37,6.18,-9.73,-13.7
KOSDAQ,Media & Entertainment,오락·문화,280.0,1.04,2.74,5.57,-45.99,-20.95
KOSPI,Media & Entertainment,오락·문화,872.58,1.4,6.05,5.47,-39.86,-14.41
KOSPI,Utilities (Electricity & Gas),전기·가스,1041.87,-3.06,2.63,2.3,-24.12,-17.58
KOSPI,Textiles & Apparel,섬유·의류,224.65,3.09,4.03,-2.39,-5.55,-22.27
