# K-Export Stars Korean sector performance · as of 2026-08-12 · Source: KRX Open API · CC BY 4.0 · kexportstars.com/tools/
market,sector_en,sector_ko,close,return_1d_pct,return_1w_pct,return_1m_pct,return_ytd_pct,excess_1m_vs_market_pp
KOSDAQ,KOSDAQ,코스닥,858.91,0.12,7.42,7.45,-9.16,
KOSPI,KOSPI,코스피,6579.04,3.68,-0.29,-3.35,52.66,
KOSDAQ,Pharmaceuticals,제약,9961.61,-1.88,8.01,13.83,-25.04,6.38
KOSDAQ,Transport Equipment & Parts,운송장비·부품,4299.17,0.82,4.32,13.11,-19.2,5.66
KOSDAQ,General Services,일반서비스,4639.23,-1.95,10.19,12.46,-25.16,5.01
KOSPI,Construction,건설,162.12,1.94,4.95,12.4,67.93,15.75
KOSPI,Pharmaceuticals,제약,16559.49,-3.53,5.03,11.43,-6.57,14.78
KOSPI,IT Services,IT 서비스,1258.3,-0.64,1.07,11.29,-3.76,14.64
KOSPI,Metals,금속,6960.28,0.06,4.37,10.91,7.64,14.26
KOSDAQ,Chemicals,화학,2171.74,1.87,10.9,10.86,-12.33,3.41
KOSDAQ,IT Services,IT 서비스,675.07,-2.27,4.29,10.39,-26.91,2.94
KOSDAQ,Retail & Distribution,유통,492.7,2.99,8.81,9.35,0.25,1.9
KOSDAQ,Construction,건설,75.86,0.92,3.97,8.7,-6.54,1.25
KOSPI,General Services,일반서비스,1342.78,-0.66,2.96,8.49,2.37,11.84
KOSDAQ,Financials,금융,1485.56,0.3,8.41,8.44,0.02,0.99
KOSDAQ,Metals,금속,1819.36,0.16,5.99,8.34,-2.84,0.89
KOSDAQ,Paper & Timber,종이·목재,6707.13,1.59,10.04,8.33,-12.88,0.88
KOSPI,Machinery & Equipment,기계·장비,3057.9,2.01,3.12,7.32,10.91,10.67
KOSDAQ,Electronics & Semiconductors,전기전자,1633.94,0.76,6.78,7.01,10.83,-0.44
KOSPI,Transport & Warehousing,운송·창고,1989.58,-1.0,-0.78,6.36,7.02,9.71
KOSPI,Chemicals,화학,4714.58,0.92,8.54,6.13,16.32,9.48
KOSPI,Utilities (Electricity & Gas),전기·가스,1106.94,0.8,1.16,5.76,-19.39,9.11
KOSPI,Real Estate,부동산,903.06,-1.31,3.44,5.16,-9.68,8.51
KOSDAQ,Transport & Warehousing,운송·창고,3037.35,-0.82,1.19,5.05,13.67,-2.4
KOSDAQ,Other Manufacturing,기타제조,536.0,0.84,3.68,5.04,-19.05,-2.41
KOSDAQ,Medical & Precision Instruments,의료·정밀기기,1985.53,-1.13,5.04,4.42,-18.25,-3.03
KOSDAQ,Telecom,통신,981.12,-0.89,1.76,3.71,-13.85,-3.74
KOSPI,Paper & Timber,종이·목재,216.89,-0.8,2.1,3.63,-20.01,6.98
KOSDAQ,Textiles & Apparel,섬유·의류,27.03,0.37,3.96,3.56,-34.6,-3.89
KOSDAQ,"Food, Beverage & Tobacco",음식료·담배,4256.31,-0.95,4.53,3.56,-14.15,-3.89
KOSPI,"Food, Beverage & Tobacco",음식료·담배,4788.65,-2.07,0.92,3.23,6.23,6.58
KOSDAQ,Non-metallic Minerals,비금속,68039.1,7.93,16.78,2.48,36.31,-4.97
KOSPI,Non-metallic Minerals,비금속,3521.01,-1.1,2.13,1.88,-13.41,5.23
KOSPI,Telecom,통신,603.53,0.14,-2.7,1.6,25.55,4.95
KOSDAQ,Media & Entertainment,오락·문화,297.46,-1.35,3.48,1.56,-42.62,-5.89
KOSPI,Transport Equipment & Parts,운송장비·부품,5238.65,1.61,1.88,1.25,10.02,4.6
KOSDAQ,Publishing & Media,출판·매체복제,1303.81,0.34,2.38,-0.17,-40.21,-7.62
KOSDAQ,Machinery & Equipment,기계·장비,783.07,2.13,7.01,-0.24,19.12,-7.69
KOSPI,Medical & Precision Instruments,의료·정밀기기,1654.69,1.24,4.56,-2.16,11.6,1.19
KOSPI,Insurance,보험,46557.48,1.38,2.45,-3.31,53.9,0.04
KOSPI,Retail & Distribution,유통,617.0,0.97,1.73,-3.41,28.94,-0.06
KOSPI,Financials,금융,1097.02,1.51,-1.34,-3.91,40.26,-0.56
KOSPI,Textiles & Apparel,섬유·의류,222.54,-0.92,2.05,-6.22,-6.44,-2.87
KOSPI,Electronics & Semiconductors,전기전자,102710.7,5.92,-1.48,-6.68,96.78,-3.33
KOSPI,Securities,증권,5444.14,1.51,2.09,-7.16,26.61,-3.81
KOSPI,Media & Entertainment,오락·문화,867.82,-0.28,0.92,-10.0,-40.18,-6.65
